#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2014-04-03-10-05-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	count	string	count	count	count	count	table[string]
1331901000.000000	CCUIP21wTjqkj8ZqX5	192.168.202.79	50463	192.168.229.251	80	tcp	-	-	-	-	SH	-	0	Fa	1	52	1	52	(empty)
1331901000.000000	Csssjd3tX0yOTPDpng	192.168.202.79	46117	192.168.229.254	443	tcp	-	-	-	-	SF	-	0	dDafFr	3	382	9	994	(empty)
1331901000.000000	CHEt7z3AzG4gyCNgci	192.168.202.79	50465	192.168.229.251	80	tcp	http	0.010000	166	214	SF	-	0	ShADfFa	4	382	3	382	(empty)
1331901000.010000	CKnDAp2ohlvN6rpiXl	192.168.202.79	50467	192.168.229.251	80	tcp	http	0.010000	166	214	SF	-	0	ShADfFa	4	382	3	382	(empty)
1331901000.000000	CGUBcoXKxBE8gTNl	192.168.202.79	46119	192.168.229.254	443	tcp	ssl	0.020000	544	1060	SF	-	0	ShADadfFr	8	968	13	1744	(empty)
1331901000.020000	CRksHc2i8qahpGOP19	192.168.202.79	46121	192.168.229.254	443	tcp	ssl	0.010000	544	1060	SF	-	0	ShADadfFr	8	968	13	1744	(empty)
1331901000.030000	C56nlH3SloWOj44ABi	192.168.202.79	46123	192.168.229.254	443	tcp	ssl	0.010000	548	1060	SF	-	0	ShADadfFr	8	972	13	1744	(empty)
1331901000.020000	CNTrjn42F3LB58MZH6	192.168.202.79	50469	192.168.229.251	80	tcp	http	0.020000	166	214	SF	-	0	ShADfFa	4	382	3	382	(empty)
1331901000.040000	C1D7mK1PlzKEnEyG03	192.168.202.79	50471	192.168.229.251	80	tcp	http	0.010000	166	214	SF	-	0	ShADfFa	4	382	3	382	(empty)
1331901000.050000	CGF1bVMyl9ALKI32l	192.168.202.79	50473	192.168.229.251	80	tcp	http	0.010000	164	214	SF	-	0	ShADfFa	4	380	3	382	(empty)
1331901000.040000	CC6D613v9i3xbmQbAf	192.168.202.79	46125	192.168.229.254	443	tcp	ssl	0.020000	548	1060	SF	-	0	ShADadfrF	8	972	13	1744	(empty)
